starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 24 11:58:17 2022	1671883097	0	239	239	238
Sat Dec 24 11:58:17 2022	1671883097	0	239	239	237
Sat Dec 24 11:58:19 2022	1671883099	0	239	239	238
Sat Dec 24 11:58:17 2022	1671883097	0	239	239	238
Sat Dec 24 11:58:16 2022	1671883096	0	239	239	239
Sat Dec 24 11:58:15 2022	1671883095	0	239	239	238
Sat Dec 24 11:58:17 2022	1671883097	0	239	239	238
Sat Dec 24 11:58:19 2022	1671883099	0	239	239	239
Sat Dec 24 11:58:20 2022	1671883100	0	239	239	239
Sat Dec 24 11:58:19 2022	1671883099	0	239	239	239
Sat Dec 24 11:58:15 2022	1671883095	0	239	239	239
Sat Dec 24 11:58:19 2022	1671883099	0	239	239	239
Sat Dec 24 11:58:19 2022	1671883099	0	239	239	239
Sat Dec 24 11:58:20 2022	1671883100	0	240	240	239
Sat Dec 24 11:58:19 2022	1671883099	0	240	240	239
Sat Dec 24 11:58:17 2022	1671883097	0	240	240	239
Sat Dec 24 11:58:16 2022	1671883096	0	240	240	239
Sat Dec 24 11:58:19 2022	1671883099	0	240	240	240
Sat Dec 24 11:58:19 2022	1671883099	0	240	240	239
Sat Dec 24 11:58:19 2022	1671883099	0	240	240	239
Sat Dec 24 11:58:16 2022	1671883096	0	240	240	240
Sat Dec 24 11:58:17 2022	1671883097	0	240	240	240
Sat Dec 24 11:58:16 2022	1671883096	0	240	240	240
Sat Dec 24 11:58:16 2022	1671883096	0	240	240	239
Sat Dec 24 11:58:18 2022	1671883098	0	240	240	238
Sat Dec 24 11:58:17 2022	1671883097	0	240	240	239
Sat Dec 24 11:58:20 2022	1671883100	1	239	240	239
Sat Dec 24 11:58:20 2022	1671883100	0	240	240	239
Sat Dec 24 11:58:17 2022	1671883097	0	240	240	239
Sat Dec 24 11:58:15 2022	1671883095	0	240	240	240
Sat Dec 24 11:58:18 2022	1671883098	0	240	240	240
Sat Dec 24 11:58:17 2022	1671883097	0	240	240	240
Sat Dec 24 11:58:20 2022	1671883100	0	240	240	240
Sat Dec 24 11:58:19 2022	1671883099	0	240	240	240
Sat Dec 24 11:58:17 2022	1671883097	0	240	240	240
